1p	0	125000000
1q	125000000	249250621
2p	0	93000000
2q	93000000	243199373
3p	0	90000000
3q	90000000	198022430
4p	0	50000000
4q	50000000	191154276
5p	0	48000000
5q	48000000	180915260
6p	0	60000000
6q	60000000	171115067
7p	0	59000000
7q	59000000	159138663
8p	0	45000000
8q	45000000	146364022
9p	0	48000000
9q	48000000	141213431
10p	0	40000000
10q	40000000	135534747
11p	0	53000000
11q	53000000	135006516
12p	0	35000000
12q	35000000	133851895
13p	0	17000000
13q	17000000	115169878
14p	0	17000000
14q	17000000	107349540
15p	0	18000000
15q	18000000	102531392
16p	0	36000000
16q	36000000	90354753
17p	0	24000000
17q	24000000	81195210
18p	0	17000000
18q	17000000	78077248
19p	0	26000000
19q	26000000	59128983
20p	0	27000000
20q	27000000	63025520
21p	0	12000000
21q	12000000	48129895
22p	0	15000000
22q	15000000	51304566
